Method,MRR,P@1,R@1,nDCG@1,P@3,R@3,nDCG@3,P@5,R@5,nDCG@5,P@10,R@10,nDCG@10
hybrid_reranked,1.0,1.0,0.1355013725151025,0.9751552795031057,0.9565217391304348,0.3412867262409597,0.8781929129800148,0.9217391304347826,0.5108401959088458,0.8860024749679615,0.7999999999999999,0.8542171406015799,0.9083851650475622
hybrid_rrf,0.9420289855072465,0.9130434782608695,0.11134678314312181,0.7142857142857144,0.8840579710144929,0.30033009832781,0.634094396808306,0.8695652173913043,0.47016227479614203,0.6800936325166514,0.7999999999999999,0.8542171406015799,0.7911128617296844
semantic,0.963768115942029,0.9565217391304348,0.11376224208031989,0.6211180124223603,0.8985507246376813,0.3036745799331611,0.6161733920978107,0.8782608695652175,0.4706918177169893,0.6563497192352937,0.8086956521739131,0.8552234188389793,0.7557150642123743
lexical,0.5797101449275363,0.5652173913043478,0.053240396775865874,0.4658385093167702,0.4057971014492754,0.11029887351397649,0.3533204590788629,0.37391304347826093,0.16434438305147686,0.32999331639985685,0.2739130434782609,0.22702295797261468,0.30305720161157007
